w	ri
271	5.1412E-06
271.2	5.5244E-06
271.4	5.9362E-06
271.6	6.3787E-06
271.8	6.8541E-06
272	7.3651E-06
272.2	7.914E-06
272.4	8.504E-06
272.6	9.1379E-06
272.8	9.819E-06
273	1.0551E-05
273.2	1.1337E-05
273.4	1.2182E-05
273.6	1.3091E-05
273.8	1.4053E-05
274	1.2431E-05
274.2	1.0997E-05
274.4	9.7283E-06
274.6	8.6058E-06
274.8	7.6129E-06
275	6.7346E-06
275.2	5.9576E-06
275.4	5.2702E-06
275.6	4.6622E-06
275.8	4.1243E-06
276	3.6484E-06
276.2	3.3586E-06
276.4	3.0918E-06
276.6	2.8461E-06
276.8	2.62E-06
277	2.4119E-06
277.2	2.2203E-06
277.4	2.0439E-06
277.6	1.8815E-06
277.8	1.732E-06
278	1.5944E-06
278.2	1.4678E-06
278.4	1.3512E-06
278.6	1.2438E-06
278.8	1.1731E-06
279	1.1552E-06
279.2	1.1375E-06
279.4	1.1202E-06
279.6	1.1031E-06
279.8	1.0862E-06
280	1.0696E-06
280.2	1.0533E-06
280.4	1.0372E-06
280.6	1.0213E-06
280.8	1.0057E-06
281	9.9036E-07
281.2	9.7523E-07
281.4	9.6033E-07
281.6	9.4566E-07
281.8	9.3121E-07
282	9.1698E-07
282.2	9.0297E-07
282.4	8.8918E-07
282.6	8.7559E-07
282.8	8.7392E-07
283	8.8932E-07
283.2	9.0499E-07
283.4	9.2094E-07
283.6	9.3718E-07
283.8	9.537E-07
284	9.705E-07
284.2	9.8761E-07
284.4	1.005E-06
284.6	1.0227E-06
284.8	1.0408E-06
285	1.0591E-06
285.2	1.0778E-06
285.4	1.0968E-06
285.6	1.1161E-06
285.8	1.1358E-06
286	1.1558E-06
286.2	1.1762E-06
286.4	1.1969E-06
286.6	1.218E-06
286.8	1.1996E-06
287	1.1387E-06
287.2	1.0809E-06
287.4	1.0261E-06
287.6	9.7403E-07
287.8	9.246E-07
288	8.7769E-07
288.2	8.3315E-07
288.4	7.9087E-07
288.6	7.5074E-07
288.8	7.1265E-07
289	6.7649E-07
289.2	6.4216E-07
289.4	6.0957E-07
289.6	5.7864E-07
289.8	5.4928E-07
290	5.2141E-07
290.2	4.9495E-07
290.4	4.6984E-07
290.6	4.46E-07
290.8	4.6779E-07
291	5.3512E-07
291.2	6.1212E-07
291.4	7.0022E-07
291.6	8.0099E-07
291.8	9.1626E-07
292	1.0481E-06
292.2	1.199E-06
292.4	1.3715E-06
292.6	1.5689E-06
292.8	1.7946E-06
293	2.0529E-06
293.2	2.3484E-06
293.4	2.6863E-06
293.6	3.0729E-06
293.8	3.5151E-06
294	4.021E-06
294.2	4.5997E-06
294.4	5.2616E-06
294.6	6.0188E-06
294.8	4.4115E-06
295	2.4326E-06
295.2	1.3414E-06
295.4	7.3968E-07
295.6	4.0788E-07
295.8	2.2491E-07
296	1.2402E-07
296.2	1.2211E-07
296.4	1.2022E-07
296.6	1.1864E-07
296.8	1.3626E-07
297	1.5649E-07
297.2	1.7973E-07
297.4	2.0643E-07
297.6	2.3709E-07
297.8	2.723E-07
298	3.1274E-07
298.2	3.5918E-07
298.4	4.1253E-07
298.6	4.738E-07
298.8	5.4416E-07
299	6.2498E-07
299.2	7.178E-07
299.4	8.244E-07
299.6	9.4684E-07
