w	ri
380.00	0.10710900276899
381.00	0.12699100375175
382.00	0.14687399566174
383.00	0.11195500195026
384.00	0.026030700653791
385.00	0.0048997798003256
386.00	0.002547699958086
387.00	0.0026694301050156
388.00	0.0014488099841401
389.00	0.00076415197690949
390.00	0.00036646099761128
391.00	0.0012589499820024
392.00	0.0014851900050417
393.00	0.00025543800438754
394.00	0.00053416198352352
395.00	0.0005364179960452
396.00	0.0010407699737698
397.00	0.00058713997714221
398.00	0.00044418699690141
399.00	0.0010970199946314
400.00	0.00080486398655921
401.00	0.0013497499749064
402.00	0.0019660200923681
403.00	0.0044897100888193
404.00	0.020153800025582
405.00	0.065336100757122
406.00	0.099036201834679
407.00	0.13375900685787
408.00	0.26732701063156
409.00	0.41586700081825
410.00	0.39863300323486
411.00	0.37365201115608
412.00	0.46474799513817
413.00	0.45464000105858
414.00	0.35842600464821
415.00	0.3605859875679
416.00	0.42864900827408
417.00	0.46752399206161
418.00	0.40698599815369
419.00	0.39857000112534
420.00	0.50631701946259
421.00	0.66022598743439
422.00	0.69415599107742
423.00	0.59502899646759
424.00	0.5394269824028
425.00	0.6005619764328
426.00	0.7000880241394
427.00	0.72593998908997
428.00	0.70650297403336
429.00	0.66893798112869
430.00	0.6078519821167
431.00	0.55099499225616
432.00	0.54559499025345
433.00	0.59106397628784
434.00	0.67259502410889
435.00	0.70307797193527
436.00	0.61910200119019
437.00	0.51665097475052
438.00	0.46439298987389
439.00	0.49139299988747
440.00	0.57804900407791
441.00	0.66014301776886
442.00	0.65635401010513
443.00	0.57505202293396
444.00	0.50526601076126
445.00	0.48308700323105
446.00	0.51786601543427
447.00	0.58502501249313
448.00	0.64533799886703
449.00	0.67371898889542
450.00	0.6604700088501
451.00	0.62513101100922
452.00	0.59536200761795
453.00	0.58261698484421
454.00	0.58633798360825
455.00	0.60151201486588
456.00	0.61488002538681
457.00	0.62008100748062
458.00	0.60876202583313
459.00	0.57430398464203
460.00	0.52828997373581
461.00	0.4792839884758
462.00	0.42907899618149
463.00	0.39281499385834
464.00	0.36895200610161
465.00	0.36628401279449
466.00	0.38493001461029
467.00	0.40942600369453
468.00	0.40755298733711
469.00	0.36183500289917
470.00	0.28247100114822
471.00	0.21731500327587
472.00	0.17167100310326
473.00	0.16182899475098
474.00	0.1930920034647
475.00	0.28236600756645
476.00	0.38641101121902
477.00	0.42376801371574
478.00	0.38934999704361
479.00	0.30867499113083
480.00	0.23248299956322
481.00	0.21114300191402
482.00	0.25320801138878
483.00	0.33702600002289
484.00	0.34040099382401
485.00	0.340725004673
486.00	0.35841399431229
487.00	0.27186000347137
488.00	0.14991700649261
489.00	0.062515497207642
490.00	0.028261199593544
491.00	0.012458800338209
492.00	0.0060041998513043
493.00	0.0035672299563885
494.00	0.0022352200467139
495.00	0.0015829399926588
496.00	0.0012121699983254
497.00	0.0009721260285005
498.00	0.00095362099818885
499.00	0.00091919599799439
500.00	0.00080349802738056
501.00	0.00082508497871459
502.00	0.0010410300455987
503.00	0.0012670899741352
504.00	0.0017380299977958
505.00	0.0026243899483234
506.00	0.0039438800886273
507.00	0.0063940198160708
508.00	0.011732700280845
509.00	0.021202400326729
510.00	0.030623700469732
511.00	0.03722969815135
512.00	0.039645198732615
513.00	0.042278401553631
514.00	0.050657398998737
515.00	0.068549297749996
516.00	0.10410100221634
517.00	0.16639000177383
518.00	0.25689700245857
519.00	0.39552000164986
520.00	0.4928739964962
521.00	0.480594009161
522.00	0.47389701008797
523.00	0.50872802734375
524.00	0.52438801527023
525.00	0.49058601260185
526.00	0.42744499444962
527.00	0.38228499889374
528.00	0.37683099508286
529.00	0.42263799905777
530.00	0.50015300512314
531.00	0.54357999563217
532.00	0.47528699040413
533.00	0.36810100078583
534.00	0.34297201037407
535.00	0.38143500685692
536.00	0.32322001457214
537.00	0.20148800313473
538.00	0.13718700408936
539.00	0.15242099761963
540.00	0.21078500151634
541.00	0.32090100646019
542.00	0.38069000840187
543.00	0.34207499027252
544.00	0.24852100014687
545.00	0.1810320019722
546.00	0.13607999682426
547.00	0.11569499969482
548.00	0.12202399969101
549.00	0.15610599517822
550.00	0.22646999359131
551.00	0.33613499999046
552.00	0.42353498935699
553.00	0.40619900822639
554.00	0.32529899477959
555.00	0.25881201028824
556.00	0.23910699784756
557.00	0.25749400258064
558.00	0.27183100581169
559.00	0.23268699645996
560.00	0.14572800695896
561.00	0.078847199678421
562.00	0.043766301125288
563.00	0.028025699779391
564.00	0.020587600767612
565.00	0.017119899392128
566.00	0.016014199703932
567.00	0.016644200310111
568.00	0.018437199294567
569.00	0.020390100777149
570.00	0.019783699885011
571.00	0.01563430018723
572.00	0.010524700395763
573.00	0.0066247200593352
574.00	0.0044970898889005
575.00	0.0031584100797772
576.00	0.0024730199947953
577.00	0.0021055298857391
578.00	0.0019600000232458
579.00	0.0019272200297564
580.00	0.0021668300032616
581.00	0.0025436000432819
582.00	0.0031463999766856
583.00	0.0037716201040894
584.00	0.0040864800103009
585.00	0.0034156499896199
586.00	0.002491429913789
587.00	0.0016909400001168
588.00	0.001242859987542
589.00	0.00085531501099467
590.00	0.00074428599327803
591.00	0.00064802000997588
592.00	0.00074505998054519
593.00	0.00063770497217774
594.00	0.00081831001443788
595.00	0.0007030579727143
596.00	0.00094201700994745
597.00	0.0012503099860623
598.00	0.0015237400075421
599.00	0.0016712800133973
600.00	0.0013694099616259
601.00	0.0009938309667632
602.00	0.00087950401939452
603.00	0.000688835978508
604.00	0.00039884599391371
605.00	0.00032981901313178
606.00	0.0002758179907687
607.00	0.00032611101050861
608.00	0.00022552099835593
609.00	0.00029050701414235
610.00	0.00042592000681907
611.00	0.00054309400729835
612.00	0.00061755301430821
613.00	0.00068907800596207
